input triples,reference text,generated text
"(Alan B. Miller Hall,completionDate,2009-06-01);(Alan B. Miller Hall,owner,College of William & Mary)","""Alan B. Miller Hall which is owned by the College of William and Mary was completed on 1st June 2009."";""Completed on June 1st, 2009, Alan B. Miller Hall is owned by the College of William and Mary."";""The Alan B. Miller Hall, which is owned by The College of William and Mary, was completed on 1st June 2009.""",Alan B. Miller Hall was completed in 2009-06-01 and is owned by College of William & Mary.
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,buildingStartDate,""30 March 2007"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,location,Williamsburg, Virginia);(Mason School of Business,country,United States)","""Construction on Alan B Miller Hall began on March 30th, 2007. The building was designed by Robert A. M. Stern. Alan B Miller Hall is located on 101 Ukrop Way in Williamsburg, Virginia, United States. The current tenant is the Mason School of Business."";""The construction of Alan B. Miller Hall began on March 30th, 2007. Robert A. M. Stern designed the building. Alan B. Miller Hall is located at 101 Ukrop Way, Williamsburg, Virginia, United States and the current tenant is the Mason School of Business/."";""The Alan B. Miller Hall, which is located at 101 Ukrop Way in Williamsburg, Virginia, USA, was designed by Robert A.M. Stern and began construction on the 30th of March 2007. The Mason School of Business are the current residents of the Hall.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, started construction in 30 March 2007, is currently tenanted by Mason School of Business, is located in Williamsburg, Virginia, and  which is located in United States."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,location,Virginia);(Alan B. Miller Hall,owner,College of William & Mary)","""Robert A.M. Stern is the architect for Alan B. Miller Hall which is located in Virginia at 101 Ukrop Way. The Mason School of Business are the current tenants of the building which is owned by The College of William and Mary."";""Alan B Miller Hall is located in Virginia at 101 Ukrop Way and is owned by The College of William and Mary. It is currently tenanted by The Mason School of Business and was designed by Robert A.M. Stern."";""Virginia's College of William and Mary is the home of the Robert A M Stern designed Alan B Miller Hall at 101 Ukrop Way which houses the Mason School of Business.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, is currently tenanted by Mason School of Business, is located in Virginia, and is owned by College of William & Mary."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,buildingStartDate,""30 March 2007"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,completionDate,2009-06-01);(Alan B. Miller Hall,owner,College of William & Mary)","""The College of William and Mary is the owner of the Alan B. Miller Hall at 101 Ukrop Way, which began construction on the 30th of March, 2007. The building was designed by Robert A M Stern and was completed on the 1st of June 2009. The Mason School of Business are the current tenants."";""The address of the Alan B. Miller Hall, which was designed by architect Robert A.M. Stern, is """"101 Ukrop Way"""". The Mason School of Business are the current tenants of the building which began construction on the 30th of March 2007 and was completed on June 1st, 2009. The College of William and Mary is its current owner.."";""The College of William and Mary is the owner of the Alan B. Miller Hall at 101 Ukrop Way, which was designed by Robert A.M. Stern. The current tenants of the building are The Mason School of Business and the building began construction on the 30th of March 2007. The hall was completed on the 1st of June 2009.""","Alan B. Miller Hall was built between 30 March 2007 and 2009-06-01, and was designed by Robert A. M. Stern, is located at 101 Ukrop Way, is currently tenanted by Mason School of Business, is owned by College of William & Mary."
"(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,location,Williamsburg, Virginia);(Alan B. Miller Hall,owner,College of William & Mary)","""The College of William and Mary, located in Williamsburg Virginia is the location of the Mason School of Business located inside Alan B Miller Hall."";""The Mason School of Business, inside Alan B Miller Hall, is in Williamsburg, Virginia at the College of William and Mary."";""The Mason School of Business are the current tenants of Alan B Miller Hall, located in Williamsburg, Virginia and owned by The College of William and Mary.""","Alan B. Miller Hall is currently tenanted by Mason School of Business, is located in Williamsburg, Virginia, and is owned by College of William & Mary."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,location,Williamsburg, Virginia);(Alan B. Miller Hall,owner,College of William & Mary)","""The Alan B. Miller Hall is located in Williamsburg, Virginia and is owned by The College of William and Mary. The building was designed by Robert A.M. Stern and has the address of 101 Ukrop Way. It is currently tenanted by The Mason School of Business."";""The address of Alan B. Miller Hall is 101 Ukrop Way in Williamsburg, Virginia and the property was designed by Robert A M Stern. The owner of the building is The College of William and Mary and The Mason School of Business are currently based at the Hall and are the current tenants."";""The College of William and Mary is the owner of the Alan B. Miller Hall in 101 Ukrop Way, Williamsburg, Virginia, designed by Robert A M Stern. The Mason School of Business are the current tenants of Alan B Miller Hall.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, is currently tenanted by Mason School of Business, is located in Williamsburg, Virginia, and is owned by College of William & Mary."
"(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,completionDate,2009-06-01);(Alan B. Miller Hall,owner,College of William & Mary)","""The College of William and Mary is the owner of the Alan B. Miller Hall which was completed on 1st June 2009, address is """"101 Ukrop Way"""". The Mason School of Business are the current tenants of Alan B Miller Hall."";""The College of William and Mary is the owner of the Alan B.Miller Hall (address: """"101 Ukrop Way""""). It was completed on June 1st, 2009, and the Mason School of Business are its current tenants."";""The College of William and Mary is the owner of the Alan B. Miller Hall in 101 Ukrop Way completed in """"1 June 2009"""" . The Mason School of Business are the current tenants.""","Alan B. Miller Hall is located at 101 Ukrop Way, is currently tenanted by Mason School of Business, was completed in 2009-06-01, and is owned by College of William & Mary."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,buildingStartDate,""30 March 2007"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,location,Virginia);(Alan B. Miller Hall,architecturalStyle,Georgian architecture);(Alan B. Miller Hall,owner,College of William & Mary)","""The Alan B Miller Hall, which is built in a Georgian style, is located in Virginia and is owned by The College of William and Mary. The building is currently occupied by The Mason School of Business and can be found at 101 Ukrop Way. It was designed by Robert A.M. Stern and began construction on the 30th of March 2007."";""The address of the Robert A M Stern designed building, the Alan B. Miller Hall, is 101 Ukrop Way in Virginia. They started to build the Georgian style hall on 30/03/2007 and it is now owned by The College of William and Mary with the current tenants being The Mason School of Business."";""The Alan B. Miller Hall at 101 Ukrop Way, Virginia, was designed in the Georgian style by Robert A.M. Stern. The College of William and Mary is the owner of the building which started construction on 30/03/2007. It currently houses The Mason School of Business.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, started construction in 30 March 2007, is currently tenanted by Mason School of Business, is located in Virginia, has the architectural style of Georgian architecture, and is owned by College of William & Mary."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,buildingStartDate,""30 March 2007"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,completionDate,2009-06-01);(Alan B. Miller Hall,location,Virginia)","""The construction of Alan B. Miller Hall lasted from March 30th, 2007 to June 1st, 2009. Robert A. M. Stern is the architect of the building. Alan B. Miller Hall is located at 101 Ukrop Way, Virginia, and the current tenant is the Mason School of Business."";""Robert A M Stern is the architect responsible for designing the Alan B. Miller Hall at 101 Ukrop Way in Virginia. Construction started on the building on the 30th of March, 2007 and was completed on the 1st of June, 2009. The Mason School of Business are the current occupants of the hall.""","Alan B. Miller Hall was built between 30 March 2007 and 2009-06-01, and was designed by Robert A. M. Stern, is located at 101 Ukrop Way, is currently tenanted by Mason School of Business, in Virginia."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,completionDate,2009-06-01);(Mason School of Business,country,United States)","""Alan B. Miller Hall, at 101 Ukrop Way, was designed by Robert A.M. Stern and was completed on 01/06/2009. The building is in the USA and is currently occupied by The Mason School of Business."";""Alan B. Miller Hall, located at 101 Ukrop Way, was designed by architect Robert A.M. Stern and was completed on June 1st, 2009. Its current tenant is the Mason School of Business, located in the United States."";""The Mason School of Business (located in the United States) are the current tenants of Alan B Miller Hall. It was completed on 1 June 2009. The address is 101 Ukrop Way, and Robert A M Stern was its architect.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, is currently tenanted by Mason School of Business, was completed in 2009-06-01, and  which is located in United States."
